x	y	mean_x	mean_y	log2FC	gene
scdrs_N	scdrs_T	0.031666666	0.033333335	0.074000634	1_10387150_10395416
scdrs_N	scdrs_T	0.023333333	0.013333334	-0.80735487	1_10397432_10398592
scdrs_N	scdrs_T	0.071666665	0.051666666	-0.47206846	1_10420144_10429881
scdrs_N	scdrs_T	0.015	0.013333334	-0.1699249	1_10452153_10456522
scdrs_N	scdrs_T	0.011666667	0.011666667	0.0	1_10630758_10636604
scdrs_N	scdrs_T	0.05	0.046666667	-0.09953567	1_10796650_10946471
scdrs_N	scdrs_T	0.033333335	0.02	-0.73696566	1_10982037_11012344
scdrs_N	scdrs_T	0.021666666	0.021666666	0.0	1_11047233_11054584
scdrs_N	scdrs_T	0.01	0.021666666	1.1154773	1_11060024_11066618
scdrs_N	scdrs_T	0.011666667	0.023333333	1.0	1_11102100_11106535
scdrs_N	scdrs_T	0.0033333334	0.006666667	1.0	1_11262507_11273206
scdrs_N	scdrs_T	0.0033333334	0.01	1.5849624	1_11296049_11311734
scdrs_N	scdrs_T	0.0016666667	0.008333334	2.321928	1_11319093_11479166
scdrs_N	scdrs_T	0.0033333334	0.006666667	1.0	1_11537584_11609531
scdrs_N	scdrs_T	0.0	0.0	0.0	1_11613355_11623558
scdrs_N	scdrs_T	0.0	0.0	0.0	1_11663327_11664124
scdrs_N	scdrs_T	0.005	0.0	-inf	1_11674354_11674480
scdrs_N	scdrs_T	0.0	0.0	0.0	1_11691650_11691729
scdrs_N	scdrs_T	0.006666667	0.0	-inf	1_11725857_11736084
scdrs_N	scdrs_T	0.005	0.005	0.0	1_11754802_11761787
scdrs_N	scdrs_T	0.0	0.0	0.0	1_11848345_11857464
scdrs_N	scdrs_T	0.031666666	0.016666668	-0.92599934	1_11858931_11919591
scdrs_N	scdrs_T	0.0033333334	0.0016666667	-1.0	1_11926428_11934205
scdrs_N	scdrs_T	0.026666667	0.031666666	0.24792752	1_11975538_11980181
scdrs_N	scdrs_T	0.006666667	0.005	-0.4150376	1_12013514_12019466
scdrs_N	scdrs_T	0.01	0.005	-1.0	1_12032045_12063377
scdrs_N	scdrs_T	0.013333334	0.015	0.169925	1_12144207_12167003
scdrs_N	scdrs_T	0.01	0.018333333	0.87446904	1_12209228_12230032
scdrs_N	scdrs_T	0.026666667	0.02	-0.4150376	1_12512047_12527724
scdrs_N	scdrs_T	0.15833333	0.125	-0.34103686	1_12528420_12567910
scdrs_N	scdrs_T	0.011666667	0.016666668	0.5145732	1_12617731_12618900
scdrs_N	scdrs_T	0.02	0.005	-2.0	1_12619244_12644547
scdrs_N	scdrs_T	0.01	0.0016666667	-2.5849624	1_12667086_12716115
scdrs_N	scdrs_T	0.0	0.005	inf	1_12728759_12746215
scdrs_N	scdrs_T	0.0	0.0	0.0	1_12763699_12774841
scdrs_N	scdrs_T	0.0	0.0	0.0	1_12777906_12791397
scdrs_N	scdrs_T	0.0016666667	0.0033333334	1.0	1_12796628_12822686
scdrs_N	scdrs_T	0.0	0.0	0.0	1_12823159_12824605
scdrs_N	scdrs_T	0.011666667	0.013333334	0.19264515	1_12831410_12847408
scdrs_N	scdrs_T	0.0	0.0	0.0	1_12848725_12857086
scdrs_N	scdrs_T	0.0033333334	0.005	0.5849624	1_12861909_12879224
scdrs_N	scdrs_T	0.285	0.26166666	-0.123231836	1_12886201_12892896
scdrs_N	scdrs_T	0.005	0.008333334	0.73696566	1_12898270_12916610
scdrs_N	scdrs_T	0.006666667	0.0016666667	-2.0	1_12920482_12938472
scdrs_N	scdrs_T	0.028333334	0.008333334	-1.7655346	1_12947580_13049476
scdrs_N	scdrs_T	0.013333334	0.011666667	-0.19264509	1_13056491_13060869
scdrs_N	scdrs_T	0.0033333334	0.006666667	1.0	1_13062229_13068677
scdrs_N	scdrs_T	0.0016666667	0.0033333334	1.0	1_13077884_13115496
scdrs_N	scdrs_T	0.0016666667	0.01	2.5849624	1_13116854_13146981
scdrs_N	scdrs_T	0.005	0.0033333334	-0.5849624	1_13147460_13148905
scdrs_N	scdrs_T	0.0033333334	0.0	-inf	1_13155961_13164586
scdrs_N	scdrs_T	0.01	0.006666667	-0.5849624	1_13165467_13172455
scdrs_N	scdrs_T	0.018333333	0.018333333	0.0	1_13179464_13196330
scdrs_N	scdrs_T	0.008333334	0.006666667	-0.32192817	1_13201409_13222705
scdrs_N	scdrs_T	0.008333334	0.008333334	0.0	1_13226106_13254212
scdrs_N	scdrs_T	0.008333334	0.0016666667	-2.3219283	1_13263314_13281035
scdrs_N	scdrs_T	0.016666668	0.015	-0.15200324	1_13285174_13303539
scdrs_N	scdrs_T	0.30166668	0.26166666	-0.20522521	1_13308907_13315581
scdrs_N	scdrs_T	0.0033333334	0.0016666667	-1.0	1_13322598_13324039
scdrs_N	scdrs_T	0.011666667	0.008333334	-0.48542678	1_13324518_13342034
scdrs_N	scdrs_T	0.0033333334	0.0016666667	-1.0	1_13347134_13369067
scdrs_N	scdrs_T	0.005	0.01	1.0	1_13371693_13389632
scdrs_N	scdrs_T	0.0	0.0	0.0	1_13392629_13410450
scdrs_N	scdrs_T	0.015	0.013333334	-0.1699249	1_13421328_13474977
scdrs_N	scdrs_T	0.0033333334	0.006666667	1.0	1_13516270_13583465
scdrs_N	scdrs_T	0.0033333334	0.0016666667	-1.0	1_13617957_13657311
scdrs_N	scdrs_T	0.006666667	0.008333334	0.32192808	1_13659910_13700198
scdrs_N	scdrs_T	0.0016666667	0.0033333334	1.0	1_13825079_13892792
scdrs_N	scdrs_T	0.0	0.0	0.0	1_15152464_15152532
scdrs_N	scdrs_T	0.01	0.0016666667	-2.5849624	1_15220480_15247272
scdrs_N	scdrs_T	0.0033333334	0.006666667	1.0	1_15400283_15402979
scdrs_N	scdrs_T	0.0016666667	0.0	-inf	1_15409433_15409895
scdrs_N	scdrs_T	0.011666667	0.011666667	0.0	1_15430343_15438439
scdrs_N	scdrs_T	0.015	0.005	-1.5849625	1_15449242_15456728
scdrs_N	scdrs_T	0.0033333334	0.0033333334	0.0	1_15526534_15526813
scdrs_N	scdrs_T	0.033333335	0.026666667	-0.32192817	1_15603626_15617500
scdrs_N	scdrs_T	0.005	0.01	1.0	1_15669044_15682873
scdrs_N	scdrs_T	0.0033333334	0.008333334	1.321928	1_15683128_15684332
scdrs_N	scdrs_T	0.023333333	0.023333333	0.0	1_15749896_15756607
scdrs_N	scdrs_T	0.026666667	0.021666666	-0.29956028	1_15786594_15807169
scdrs_N	scdrs_T	0.053333335	0.038333334	-0.47643802	1_15809348_15834474
scdrs_N	scdrs_T	0.005	0.0033333334	-0.5849624	1_15940460_15941869
scdrs_N	scdrs_T	0.0	0.005	inf	1_15976132_16004236
scdrs_N	scdrs_T	0.0016666667	0.0033333334	1.0	1_16008807_16014028
scdrs_N	scdrs_T	0.0	0.0033333334	inf	1_16034050_16043736
scdrs_N	scdrs_T	0.006666667	0.0033333334	-1.0	1_16057308_16057769
scdrs_N	scdrs_T	0.0016666667	0.013333334	3.0	1_16073632_16124337
scdrs_N	scdrs_T	0.0016666667	0.0033333334	1.0	1_16157329_16159266
scdrs_N	scdrs_T	0.01	0.008333334	-0.26303434	1_16161883_16197854
scdrs_N	scdrs_T	0.051666666	0.038333334	-0.43063432	1_16212609_16231700
scdrs_N	scdrs_T	1.0883334	1.1083333	0.026271328	1_16237162_16246839
