x	y	mean_x	mean_y	log2FC	gene
scdrs_N	scdrs_T	0.026666667	0.028333334	0.08746284	1_6247346_6260975
scdrs_N	scdrs_T	0.13666667	0.11833333	-0.20780496	1_6264269_6394391
scdrs_N	scdrs_T	0.0033333334	0.0033333334	0.0	1_6412418_6424670
scdrs_N	scdrs_T	0.43833333	0.48	0.13100597	1_6424776_6520061
scdrs_N	scdrs_T	0.10333333	0.08833333	-0.22627583	1_6521347_6554535
scdrs_N	scdrs_T	0.005	0.01	1.0	1_6555181_6579757
scdrs_N	scdrs_T	0.18	0.195	0.115477115	1_6580001_6589280
scdrs_N	scdrs_T	0.18833333	0.165	-0.19082224	1_6590724_6624033
scdrs_N	scdrs_T	0.16333333	0.16166666	-0.014796995	1_6624866_6701924
scdrs_N	scdrs_T	0.005	0.005	0.0	1_6724637_6730012
scdrs_N	scdrs_T	0.0033333334	0.0	-inf	1_6767954_6770038
scdrs_N	scdrs_T	0.005	0.008333334	0.73696566	1_6783892_6784843
scdrs_N	scdrs_T	0.345	0.305	-0.17778708	1_6785324_7769706
scdrs_N	scdrs_T	0.14166667	0.15	0.08246224	1_7771269_7781432
scdrs_N	scdrs_T	0.22	0.26333332	0.25938654	1_7784320_7853512
scdrs_N	scdrs_T	0.005	0.006666667	0.41503757	1_7915894_7943165
scdrs_N	scdrs_T	0.84166664	0.8283333	-0.023037476	1_7954291_7985505
scdrs_N	scdrs_T	2.7683334	2.605	-0.08773431	1_7991134_8026308
scdrs_N	scdrs_T	0.033333335	0.028333334	-0.23446532	1_8026738_8122702
scdrs_N	scdrs_T	0.02	0.016666668	-0.26303434	1_8202429_8215210
scdrs_N	scdrs_T	0.0033333334	0.0016666667	-1.0	1_8218190_8220529
scdrs_N	scdrs_T	0.006666667	0.005	-0.4150376	1_8317826_8344167
scdrs_N	scdrs_T	0.43333334	0.43833333	0.01655124	1_8352397_8817643
scdrs_N	scdrs_T	1.27	1.1766666	-0.11012288	1_8861000_8879894
scdrs_N	scdrs_T	0.011666667	0.0	-inf	1_8945867_8975092
scdrs_N	scdrs_T	0.006666667	0.0033333334	-1.0	1_9003300_9026345
scdrs_N	scdrs_T	0.013333334	0.011666667	-0.19264509	1_9035107_9088478
scdrs_N	scdrs_T	0.058333334	0.058333334	0.0	1_9100305_9129170
scdrs_N	scdrs_T	0.041666668	0.046666667	0.16349874	1_9148011_9198906
scdrs_N	scdrs_T	0.60833335	0.63166666	0.05430141	1_9234775_9271337
scdrs_N	scdrs_T	0.11333334	0.093333334	-0.280108	1_9292880_9369532
scdrs_N	scdrs_T	0.0	0.0033333334	inf	1_9421098_9422862
scdrs_N	scdrs_T	0.005	0.011666667	1.2223926	1_9425094_9440564
scdrs_N	scdrs_T	0.005	0.0016666667	-1.5849625	1_9501092_9503471
scdrs_N	scdrs_T	0.13333334	0.16833334	0.33628333	1_9539482_9585179
scdrs_N	scdrs_T	0.015	0.02	0.41503757	1_9588922_9614873
scdrs_N	scdrs_T	0.24333334	0.21833333	-0.1564016	1_9651732_9824526
scdrs_N	scdrs_T	0.07833333	0.086666666	0.14585085	1_9848276_9910336
scdrs_N	scdrs_T	0.11666667	0.111666664	-0.063193865	1_9922113_9943407
scdrs_N	scdrs_T	0.08833333	0.108333334	0.29444742	1_9943428_9985501
scdrs_N	scdrs_T	0.035	0.045	0.3625702	1_9997206_10016020
scdrs_N	scdrs_T	0.23333333	0.175	-0.4150375	1_10032832_10181239
scdrs_N	scdrs_T	0.27	0.24333334	-0.15002546	1_10210805_10381603
scdrs_N	scdrs_T	0.018333333	0.02	0.12553091	1_10381906_10387150
scdrs_N	scdrs_T	0.013333334	0.016666668	0.32192808	1_10395416_10397432
scdrs_N	scdrs_T	0.22833334	0.19333333	-0.2400512	1_10398592_10420144
scdrs_N	scdrs_T	0.043333333	0.061666667	0.5090137	1_10429881_10452153
scdrs_N	scdrs_T	0.31666666	0.305	-0.054155685	1_10456522_10630758
scdrs_N	scdrs_T	0.055	0.048333332	-0.18641314	1_10636604_10796650
scdrs_N	scdrs_T	0.018333333	0.016666668	-0.13750339	1_10946471_10982037
scdrs_N	scdrs_T	1.825	1.8283334	0.0026327146	1_11012344_11047233
scdrs_N	scdrs_T	0.11666667	0.10166667	-0.19854571	1_11054584_11060024
scdrs_N	scdrs_T	0.07833333	0.075	-0.06273566	1_11066618_11102100
scdrs_N	scdrs_T	0.14666666	0.11666667	-0.33014858	1_11106535_11262507
scdrs_N	scdrs_T	0.075	0.06	-0.32192817	1_11273206_11296049
scdrs_N	scdrs_T	0.011666667	0.0033333334	-1.8073548	1_11311734_11319093
scdrs_N	scdrs_T	0.0016666667	0.0016666667	0.0	1_11479166_11537584
scdrs_N	scdrs_T	0.0	0.0	0.0	1_11609531_11613355
scdrs_N	scdrs_T	0.28833333	0.295	0.03297728	1_11623558_11663327
scdrs_N	scdrs_T	0.061666667	0.05	-0.30256277	1_11664124_11674354
scdrs_N	scdrs_T	0.09	0.105	0.22239237	1_11674480_11691650
scdrs_N	scdrs_T	0.0	0.0	0.0	1_11691729_11725857
scdrs_N	scdrs_T	0.145	0.11833333	-0.29319638	1_11736084_11754802
scdrs_N	scdrs_T	0.19833334	0.20333333	0.035919487	1_11761787_11848345
scdrs_N	scdrs_T	0.0	0.0	0.0	1_11857464_11858931
scdrs_N	scdrs_T	0.33166668	0.29166666	-0.18541363	1_11919591_11926428
scdrs_N	scdrs_T	0.40166667	0.42	0.0643905	1_11934205_11975538
scdrs_N	scdrs_T	0.31833333	0.24833333	-0.3582602	1_11980181_12013514
scdrs_N	scdrs_T	0.05	0.10333333	1.0473057	1_12019466_12032045
scdrs_N	scdrs_T	0.025	0.025	0.0	1_12063377_12144207
scdrs_N	scdrs_T	0.30333334	0.29	-0.06485123	1_12167003_12209228
scdrs_N	scdrs_T	0.27833334	0.28333333	0.02568655	1_12230032_12512047
scdrs_N	scdrs_T	0.0	0.0033333334	inf	1_12527724_12528420
scdrs_N	scdrs_T	1.45	1.465	0.014847815	1_12567910_12617731
scdrs_N	scdrs_T	0.005	0.006666667	0.41503757	1_12618900_12619244
scdrs_N	scdrs_T	0.0033333334	0.0033333334	0.0	1_12644547_12667086
scdrs_N	scdrs_T	0.005	0.0	-inf	1_12716115_12728759
scdrs_N	scdrs_T	0.0033333334	0.0016666667	-1.0	1_12746215_12763699
scdrs_N	scdrs_T	0.0	0.0	0.0	1_12774841_12777906
scdrs_N	scdrs_T	0.0	0.0	0.0	1_12791397_12796628
scdrs_N	scdrs_T	0.0	0.0	0.0	1_12822686_12823159
scdrs_N	scdrs_T	0.005	0.0	-inf	1_12824605_12831410
scdrs_N	scdrs_T	0.0	0.0	0.0	1_12847408_12848725
scdrs_N	scdrs_T	0.0	0.0	0.0	1_12857086_12861909
scdrs_N	scdrs_T	0.0033333334	0.006666667	1.0	1_12879224_12886201
scdrs_N	scdrs_T	0.011666667	0.0033333334	-1.8073548	1_12892896_12898270
scdrs_N	scdrs_T	0.005	0.0033333334	-0.5849624	1_12916610_12920482
scdrs_N	scdrs_T	0.006666667	0.008333334	0.32192808	1_12938472_12947580
scdrs_N	scdrs_T	0.011666667	0.008333334	-0.48542678	1_13049476_13056491
scdrs_N	scdrs_T	0.01	0.0033333334	-1.5849625	1_13060869_13062229
scdrs_N	scdrs_T	0.015	0.005	-1.5849625	1_13068677_13077884
scdrs_N	scdrs_T	0.0	0.006666667	inf	1_13115496_13116854
scdrs_N	scdrs_T	0.0016666667	0.0033333334	1.0	1_13146981_13147460
scdrs_N	scdrs_T	0.01	0.005	-1.0	1_13148905_13155961
scdrs_N	scdrs_T	0.0033333334	0.005	0.5849624	1_13164586_13165467
scdrs_N	scdrs_T	0.006666667	0.005	-0.4150376	1_13172455_13179464
scdrs_N	scdrs_T	0.0033333334	0.008333334	1.321928	1_13196330_13201409
scdrs_N	scdrs_T	0.005	0.0016666667	-1.5849625	1_13222705_13226106
scdrs_N	scdrs_T	0.013333334	0.0033333334	-2.0	1_13254212_13263314
scdrs_N	scdrs_T	0.0033333334	0.006666667	1.0	1_13281035_13285174
scdrs_N	scdrs_T	0.008333334	0.011666667	0.4854268	1_13303539_13308907
scdrs_N	scdrs_T	0.006666667	0.008333334	0.32192808	1_13315581_13322598
scdrs_N	scdrs_T	0.0016666667	0.0	-inf	1_13324039_13324518
scdrs_N	scdrs_T	0.0033333334	0.0	-inf	1_13342034_13347134
scdrs_N	scdrs_T	0.0	0.0	0.0	1_13369067_13371693
scdrs_N	scdrs_T	0.0	0.0	0.0	1_13389632_13392629
scdrs_N	scdrs_T	0.0	0.0	0.0	1_13410450_13421328
scdrs_N	scdrs_T	0.0	0.0	0.0	1_13474977_13516270
scdrs_N	scdrs_T	0.0033333334	0.0016666667	-1.0	1_13583465_13617957
scdrs_N	scdrs_T	0.0	0.0	0.0	1_13657311_13659910
scdrs_N	scdrs_T	0.105	0.096666664	-0.11929892	1_13700198_13825079
scdrs_N	scdrs_T	0.19	0.18833333	-0.0127110025	1_13892792_15152464
scdrs_N	scdrs_T	0.028333334	0.035	0.30485454	1_15152532_15220480
scdrs_N	scdrs_T	0.008333334	0.015	0.8479968	1_15247272_15400283
scdrs_N	scdrs_T	0.0033333334	0.0016666667	-1.0	1_15402979_15409433
scdrs_N	scdrs_T	0.145	0.185	0.3514724	1_15409895_15430343
scdrs_N	scdrs_T	0.01	0.011666667	0.22239253	1_15438439_15449242
scdrs_N	scdrs_T	0.068333335	0.07	0.034765385	1_15456728_15526534
scdrs_N	scdrs_T	0.80333334	0.7266667	-0.14470501	1_15526813_15603626
scdrs_N	scdrs_T	0.30166668	0.33166668	0.1367787	1_15617500_15669044
scdrs_N	scdrs_T	0.006666667	0.006666667	0.0	1_15682873_15683128
scdrs_N	scdrs_T	0.385	0.365	-0.07696192	1_15684332_15749896
scdrs_N	scdrs_T	0.046666667	0.045	-0.052467395	1_15756607_15786594
scdrs_N	scdrs_T	0.048333332	0.053333335	0.14201915	1_15807169_15809348
scdrs_N	scdrs_T	0.15333334	0.17166667	0.16293862	1_15834474_15940460
scdrs_N	scdrs_T	0.05666667	0.053333335	-0.087462835	1_15941869_15976132
scdrs_N	scdrs_T	0.0016666667	0.0016666667	0.0	1_16004236_16008807
scdrs_N	scdrs_T	0.015	0.02	0.41503757	1_16014028_16034050
scdrs_N	scdrs_T	0.0033333334	0.0016666667	-1.0	1_16043736_16057308
scdrs_N	scdrs_T	0.0016666667	0.0016666667	0.0	1_16057769_16073632
scdrs_N	scdrs_T	0.07666667	0.083333336	0.1202942	1_16124337_16157329
scdrs_N	scdrs_T	0.006666667	0.013333334	1.0	1_16159266_16161883
scdrs_N	scdrs_T	0.016666668	0.013333334	-0.32192817	1_16197854_16212609
scdrs_N	scdrs_T	0.013333334	0.0016666667	-3.0	1_16231700_16237162
scdrs_N	scdrs_T	0.13833334	0.155	0.16411944	1_16246839_16352454
scdrs_N	scdrs_T	0.21833333	0.245	0.16624936	1_16352575_16437424
scdrs_N	scdrs_T	0.11833333	0.135	0.19010301	1_16440672_16460078
scdrs_N	scdrs_T	0.011666667	0.01	-0.2223925	1_16460948_16468481
scdrs_N	scdrs_T	0.013333334	0.0033333334	-2.0	1_16514645_16515754
scdrs_N	scdrs_T	0.04	0.038333334	-0.061400484	1_16520694_16521796
scdrs_N	scdrs_T	0.0016666667	0.006666667	2.0	1_16533886_16536172
scdrs_N	scdrs_T	0.18833333	0.17	-0.1477536	1_16562319_16613562
scdrs_N	scdrs_T	0.013333334	0.025	0.9068906	1_16617391_16617729
scdrs_N	scdrs_T	0.048333332	0.036666665	-0.3985494	1_16656879_16667524
scdrs_N	scdrs_T	0.005	0.006666667	0.41503757	1_16701546_16705594
