group	feature	mean	var	cv	zero_prop
scdrs_N	1_4973381_4981568	0.0	0.0	0.0	1.0
scdrs_N	1_5086459_5090899	0.0	0.0	0.0	1.0
scdrs_N	1_5301928_5307394	0.0	0.0	0.0	1.0
scdrs_N	1_5478736_5494674	0.0	0.0	0.0	1.0
scdrs_N	1_5561709_5668295	0.0033333334	0.0033222048	17.29157	0.9966666666666667
scdrs_N	1_5862811_6101193	0.09	0.08856631	3.3066769	0.9133333333333333
scdrs_N	1_6101793_6180123	0.006666667	0.0066222046	12.206539	0.9933333333333333
scdrs_N	1_6181269_6235972	2.79	4.2759056	0.7411564	0.105
scdrs_N	1_6236240_6239444	0.008333334	0.00826393	10.908738	0.9916666666666667
scdrs_N	1_6244192_6245578	0.0	0.0	0.0	1.0
scdrs_N	1_6247346_6260975	0.026666667	0.029289132	6.4177756	0.975
scdrs_N	1_6264269_6394391	0.13666667	0.15465507	2.8775275	0.88
scdrs_N	1_6412418_6424670	0.0033333334	0.003322204	17.291569	0.9966666666666667
scdrs_N	1_6424776_6520061	0.43833333	0.5128653	1.6337936	0.67
scdrs_N	1_6521347_6554535	0.10333333	0.105988584	3.1505697	0.9033333333333333
scdrs_N	1_6555181_6579757	0.005	0.004975001	14.106737	0.995
scdrs_N	1_6580001_6589280	0.18	0.18760045	2.4062703	0.8366666666666667
scdrs_N	1_6590724_6624033	0.18833333	0.1928637	2.3318362	0.8316666666666667
scdrs_N	1_6624866_6701924	0.16333333	0.16998927	2.5242708	0.8533333333333334
scdrs_N	1_6724637_6730012	0.005	0.0049750004	14.106737	0.995
scdrs_N	1_6767954_6770038	0.0033333334	0.0033222006	17.29156	0.9966666666666667
scdrs_N	1_6783892_6784843	0.005	0.0049750037	14.106742	0.995
scdrs_N	1_6785324_7769706	0.345	0.36264074	1.7454973	0.71
scdrs_N	1_7771269_7781432	0.14166667	0.141598	2.6562006	0.8666666666666667
scdrs_N	1_7784320_7853512	0.22	0.2616004	2.3248587	0.815
scdrs_N	1_7915894_7943165	0.005	0.004975023	14.106769	0.995
scdrs_N	1_7954291_7985505	0.84166664	1.0965947	1.2441794	0.48
scdrs_N	1_7991134_8026308	2.7683334	4.541323	0.76979095	0.11333333333333333
scdrs_N	1_8026738_8122702	0.033333335	0.03222242	5.385181	0.9666666666666667
scdrs_N	1_8202429_8215210	0.02	0.026266592	8.103486	0.9833333333333333
scdrs_N	1_8218190_8220529	0.0033333334	0.0033222025	17.291565	0.9966666666666667
scdrs_N	1_8317826_8344167	0.006666667	0.0066221883	12.206524	0.9933333333333333
scdrs_N	1_8352397_8817643	0.43333334	0.4722197	1.5858055	0.6583333333333333
scdrs_N	1_8861000_8879894	1.27	1.5637676	0.9846511	0.33
scdrs_N	1_8945867_8975092	0.011666667	0.011530505	9.204016	0.9883333333333333
scdrs_N	1_9003300_9026345	0.006666667	0.006622196	12.206532	0.9933333333333333
scdrs_N	1_9035107_9088478	0.013333334	0.013155597	8.602339	0.9866666666666667
scdrs_N	1_9100305_9129170	0.058333334	0.061597157	4.2546473	0.945
scdrs_N	1_9148011_9198906	0.041666668	0.039930325	4.7958174	0.9583333333333334
scdrs_N	1_9234775_9271337	0.60833335	0.7282617	1.4028206	0.5683333333333334
scdrs_N	1_9292880_9369532	0.11333334	0.12048903	3.062782	0.8966666666666666
scdrs_N	1_9421098_9422862	0.0	0.0	0.0	1.0
scdrs_N	1_9425094_9440564	0.005	0.004975014	14.106755	0.995
scdrs_N	1_9501092_9503471	0.005	0.004975008	14.106748	0.995
scdrs_N	1_9539482_9585179	0.13333334	0.1422215	2.8284197	0.88
scdrs_N	1_9588922_9614873	0.015	0.014775036	8.103507	0.985
scdrs_N	1_9651732_9824526	0.24333334	0.25745493	2.085206	0.7866666666666666
scdrs_N	1_9848276_9910336	0.07833333	0.08219759	3.6600158	0.9266666666666666
scdrs_N	1_9922113_9943407	0.11666667	0.12305533	3.0067923	0.8933333333333333
scdrs_N	1_9943428_9985501	0.08833333	0.08719676	3.3429167	0.915
scdrs_N	1_9997206_10016020	0.035	0.033775136	5.250861	0.965
scdrs_N	1_10032832_10181239	0.23333333	0.23222153	2.0652587	0.7916666666666666
scdrs_N	1_10210805_10381603	0.27	0.2637669	1.902157	0.7616666666666667
scdrs_N	1_10381906_10387150	0.018333333	0.017997168	7.317466	0.9816666666666667
scdrs_N	1_10395416_10397432	0.013333334	0.013155588	8.602336	0.9866666666666667
scdrs_N	1_10398592_10420144	0.22833334	0.2361981	2.1284766	0.8
scdrs_N	1_10429881_10452153	0.043333333	0.048121624	5.062302	0.96
scdrs_N	1_10456522_10630758	0.31666666	0.3963908	1.9881972	0.7583333333333333
scdrs_N	1_10636604_10796650	0.055	0.058641706	4.4029183	0.9483333333333334
scdrs_N	1_10946471_10982037	0.018333333	0.017997222	7.3174763	0.9816666666666667
scdrs_N	1_11012344_11047233	1.825	2.587708	0.88144404	0.21333333333333335
scdrs_N	1_11054584_11060024	0.11666667	0.119722046	2.9657893	0.8916666666666667
scdrs_N	1_11066618_11102100	0.07833333	0.07219734	3.430157	0.9216666666666666
scdrs_N	1_11106535_11262507	0.14666666	0.15182339	2.656672	0.8666666666666667
scdrs_N	1_11273206_11296049	0.075	0.079375416	3.7564857	0.93
scdrs_N	1_11311734_11319093	0.011666667	0.011530553	9.204036	0.9883333333333333
scdrs_N	1_11479166_11537584	0.0016666667	0.0016638917	24.474495	0.9983333333333333
scdrs_N	1_11609531_11613355	0.0	0.0	0.0	1.0
scdrs_N	1_11623558_11663327	0.28833333	0.29852998	1.894956	0.75
scdrs_N	1_11664124_11674354	0.061666667	0.061197508	4.0115886	0.94
scdrs_N	1_11674480_11691650	0.09	0.095232725	3.4288666	0.9166666666666666
scdrs_N	1_11691729_11725857	0.0	0.0	0.0	1.0
scdrs_N	1_11736084_11754802	0.145	0.15730934	2.735327	0.8716666666666667
scdrs_N	1_11761787_11848345	0.19833334	0.2056644	2.2865665	0.8233333333333334
scdrs_N	1_11857464_11858931	0.0	0.0	0.0	1.0
scdrs_N	1_11919591_11926428	0.33166668	0.35166323	1.7879758	0.7283333333333334
scdrs_N	1_11934205_11975538	0.40166667	0.39366248	1.5620545	0.6666666666666666
scdrs_N	1_11980181_12013514	0.31833333	0.35699666	1.8769382	0.74
scdrs_N	1_12019466_12032045	0.05	0.050833542	4.5092587	0.9516666666666667
scdrs_N	1_12063377_12144207	0.025	0.027708264	6.65832	0.9766666666666667
scdrs_N	1_12167003_12209228	0.30333334	0.31465566	1.8492584	0.7433333333333333
scdrs_N	1_12230032_12512047	0.27833334	0.28419685	1.9153334	0.7583333333333333
scdrs_N	1_12527724_12528420	0.0	0.0	0.0	1.0
scdrs_N	1_12567910_12617731	1.45	1.8108344	0.92805	0.2733333333333333
scdrs_N	1_12618900_12619244	0.005	0.0049750153	14.106758	0.995
scdrs_N	1_12644547_12667086	0.0033333334	0.0033222057	17.291573	0.9966666666666667
scdrs_N	1_12716115_12728759	0.005	0.0049750223	14.106768	0.995
scdrs_N	1_12746215_12763699	0.0033333334	0.0033221992	17.291555	0.9966666666666667
scdrs_N	1_12774841_12777906	0.0	0.0	0.0	1.0
scdrs_N	1_12791397_12796628	0.0	0.0	0.0	1.0
scdrs_N	1_12822686_12823159	0.0	0.0	0.0	1.0
scdrs_N	1_12824605_12831410	0.005	0.0049750116	14.106752	0.995
scdrs_N	1_12847408_12848725	0.0	0.0	0.0	1.0
scdrs_N	1_12857086_12861909	0.0	0.0	0.0	1.0
scdrs_N	1_12879224_12886201	0.0033333334	0.0033222022	17.291565	0.9966666666666667
scdrs_N	1_12892896_12898270	0.011666667	0.014863885	10.450074	0.99
scdrs_N	1_12916610_12920482	0.005	0.004975001	14.106737	0.995
scdrs_N	1_12938472_12947580	0.006666667	0.00662223	12.206563	0.9933333333333333
scdrs_N	1_13049476_13056491	0.011666667	0.011530453	9.203996	0.9883333333333333
scdrs_N	1_13060869_13062229	0.01	0.00990005	9.9499	0.99
scdrs_N	1_13068677_13077884	0.015	0.014775022	8.103503	0.985
scdrs_N	1_13115496_13116854	0.0	0.0	0.0	1.0
scdrs_N	1_13146981_13147460	0.0016666667	0.0016639018	24.47457	0.9983333333333333
scdrs_N	1_13148905_13155961	0.01	0.009899955	9.949852	0.99
scdrs_N	1_13164586_13165467	0.0033333334	0.0033222034	17.291567	0.9966666666666667
scdrs_N	1_13172455_13179464	0.006666667	0.0066221873	12.206523	0.9933333333333333
scdrs_N	1_13196330_13201409	0.0033333334	0.0033222127	17.291592	0.9966666666666667
scdrs_N	1_13222705_13226106	0.005	0.004975013	14.106755	0.995
scdrs_N	1_13254212_13263314	0.013333334	0.013155591	8.602336	0.9866666666666667
scdrs_N	1_13281035_13285174	0.0033333334	0.0033222078	17.291578	0.9966666666666667
scdrs_N	1_13303539_13308907	0.008333334	0.008263911	10.908726	0.9916666666666667
scdrs_N	1_13315581_13322598	0.006666667	0.00662223	12.206563	0.9933333333333333
scdrs_N	1_13324039_13324518	0.0016666667	0.0016639115	24.474642	0.9983333333333333
scdrs_N	1_13342034_13347134	0.0033333334	0.0033222006	17.29156	0.9966666666666667
scdrs_N	1_13369067_13371693	0.0	0.0	0.0	1.0
scdrs_N	1_13389632_13392629	0.0	0.0	0.0	1.0
scdrs_N	1_13410450_13421328	0.0	0.0	0.0	1.0
scdrs_N	1_13474977_13516270	0.0	0.0	0.0	1.0
scdrs_N	1_13583465_13617957	0.0033333334	0.0033222213	17.291613	0.9966666666666667
scdrs_N	1_13657311_13659910	0.0	0.0	0.0	1.0
scdrs_N	1_13700198_13825079	0.105	0.12064131	3.3079486	0.9066666666666666
scdrs_N	1_13892792_15152464	0.19	0.21056709	2.4151363	0.8366666666666667
scdrs_N	1_15152532_15220480	0.028333334	0.02753066	5.8561287	0.9716666666666667
scdrs_N	1_15247272_15400283	0.008333334	0.008263867	10.908697	0.9916666666666667
scdrs_N	1_15402979_15409433	0.0033333334	0.0033222043	17.291569	0.9966666666666667
