feature	SpaceRanger	stCNASim-afc	STARsolo
AC003973.1	0.0	0.0	0.0
ZNF257	0.006666666828095913	0.006666666666666667	0.006666666666666667
ZNF676	0.0033333334140479565	0.0033333333333333335	0.0033333333333333335
AC073539.1	0.0	0.0	0.0
AC073539.3	0.0	0.0	0.0
ZNF729	0.0	0.0	0.0
ZNF98	0.0	0.0	0.0
AC011516.1	0.0	0.0	0.0
AC025811.1	0.0	0.0	0.0
LINC01233	0.0	0.0	0.0
LINC01785	0.0	0.0	0.0
ZNF492	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
AC024563.1	0.0	0.0	0.0
ZNF99	0.0	0.0	0.0016666666666666668
ZNF723	0.0	0.0	0.0
AC022145.1	0.0	0.0	0.0
ZNF728	0.0	0.0	0.0
LINC01859	0.0	0.0	0.0
LINC01858	0.0	0.0	0.0
AC074135.2	0.0	0.0	0.0
AC074135.1	0.0	0.0	0.0
ZNF730	0.0	0.0	0.0
ZNF724	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
AC092329.3	0.0033333334140479565	0.0033333333333333335	0.0033333333333333335
AC092329.1	0.0	0.0	0.0
ZNF91	0.18833333253860474	0.18833333333333332	0.195
AC010300.1	0.0	0.0	0.0
LINC01224	0.0	0.0	0.0
ZNF675	0.0033333334140479565	0.0033333333333333335	0.0033333333333333335
ZNF681	0.006666666828095913	0.006666666666666667	0.006666666666666667
AC139769.2	0.0	0.0	0.0
ZNF726	0.013333333656191826	0.013333333333333334	0.015
AC011503.1	0.0	0.0	0.0
ZNF254	0.05999999865889549	0.06	0.06166666666666667
AC092279.1	0.01666666753590107	0.016666666666666666	0.016666666666666666
AC073534.2	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
ERVK-28	0.0	0.0	0.0
LINC00662	0.03999999910593033	0.04	0.04
AC006504.1	0.0	0.0	0.0
AC006504.5	0.014999999664723873	0.015	0.015
AC006504.2	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
AC010511.1	0.0	0.0	0.0
AC020905.1	0.0	0.0	0.0
AC005580.1	0.0	0.0	0.0
AC093074.1	0.0	0.0	0.0
AC005307.1	0.0	0.0	0.0
AC005381.1	0.0	0.0	0.0
AC005394.1	0.0	0.0	0.0
AC005616.1	0.0	0.0	0.0
AC079466.2	0.0	0.0	0.0
AC079466.1	0.0	0.0	0.0
AC007795.1	0.0	0.0	0.0
AC008991.1	0.0	0.0	0.0
AC008991.2	0.0	0.0	0.0
AC011524.1	0.0	0.0	0.0
AC011524.2	0.0	0.0	0.0
LINC00906	0.0	0.0	0.0
LINC01532	0.0	0.0	0.0
UQCRFS1	1.3616666793823242	1.3616666666666666	1.4416666666666667
AC007786.1	0.0	0.0	0.0
AC007786.2	0.0	0.0	0.0
AC007786.3	0.0	0.0	0.0
AC011474.3	0.0	0.0	0.0
AC011474.2	0.0	0.0	0.0
VSTM2B	0.0	0.0	0.0
POP4	0.21166667342185974	0.21166666666666667	0.225
PLEKHF1	0.04333333298563957	0.043333333333333335	0.05
C19orf12	0.3633333444595337	0.36333333333333334	0.39
CCNE1	0.006666666828095913	0.006666666666666667	0.008333333333333333
URI1	0.2966666519641876	0.2966666666666667	0.31666666666666665
AC008507.2	0.0	0.0	0.0
AC005597.1	0.0	0.0	0.0
ZNF536	0.0	0.0	0.0
AC011478.1	0.0	0.0	0.0
AC011507.1	0.0	0.0	0.0
LINC01834	0.0	0.0	0.0
AC020897.1	0.0	0.0	0.0
AC020912.1	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
LINC01791	0.0	0.0	0.0
TSHZ3	0.011666666716337204	0.011666666666666667	0.011666666666666667
AC025809.1	0.0	0.0	0.0
AC008992.1	0.0	0.0	0.0
AC008794.2	0.0	0.0	0.0
AC008794.1	0.0	0.0	0.0
AC011525.1	0.0	0.0	0.0
AC011525.2	0.0	0.0	0.0
LINC01837	0.0	0.0	0.0
AC011456.1	0.0	0.0	0.0
LINC01533	0.0	0.0	0.0
LINC01782	0.0	0.0	0.0
AC011518.1	0.0	0.0	0.0
ZNF507	0.08166666328907013	0.08166666666666667	0.09
AC007773.1	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
DPY19L3	0.05833333358168602	0.058333333333333334	0.065
PDCD5	0.47999998927116394	0.48	0.52
ANKRD27	0.04500000178813934	0.03333333333333333	0.04833333333333333
AC008474.1	0.0	0.0	0.0
RGS9BP	0.0	0.0	0.0
AC008736.1	0.004999999888241291	0.005	0.005
NUDT19	0.11166666448116302	0.11166666666666666	0.12166666666666667
AC008736.2	0.0	0.0	0.0
TDRD12	0.0	0.0	0.0
SLC7A9	0.15333333611488342	0.15333333333333332	0.16666666666666666
AC008805.2	0.0	0.0	0.0
CEP89	0.04500000178813934	0.045	0.04666666666666667
FAAP24	0.008333333767950535	0.008333333333333333	0.01
RHPN2	0.14499999582767487	0.145	0.15333333333333332
GPATCH1	0.036666665226221085	0.03666666666666667	0.04
WDR88	0.0	0.0	0.0
LRP3	0.4566666781902313	0.45666666666666667	0.48833333333333334
SLC7A10	0.0	0.0	0.0
AC008738.4	0.0	0.0	0.0
AC008738.6	0.0	0.0	0.0
AC008738.3	0.009999999776482582	0.01	0.03
CEBPA	1.2649999856948853	1.265	1.335
AC008738.5	0.0	0.0	0.0
CEBPA-DT	0.0416666679084301	0.041666666666666664	0.043333333333333335
AC008738.2	0.009999999776482582	0.01	0.013333333333333334
CEBPG	0.3199999928474426	0.32	0.3383333333333333
PEPD	2.3483333587646484	2.348333333333333	2.52
AC010485.1	0.0	0.0	0.0
CHST8	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
KCTD15	0.07500000298023224	0.075	0.08166666666666667
AC008556.1	0.004999999888241291	0.005	0.006666666666666667
LSM14A	0.3933333456516266	0.3933333333333333	0.42833333333333334
KIAA0355	0.12999999523162842	0.13	0.14
AC010504.1	0.0	0.0	0.0
GPI	2.073333263397217	2.0733333333333333	2.225
AC092073.1	0.0	0.0	0.0
PDCD2L	0.019999999552965164	0.02	0.021666666666666667
AC008747.1	0.0	0.0	0.0
UBA2	0.27666667103767395	0.27666666666666667	0.2966666666666667
WTIP	0.02500000037252903	0.025	0.025
SCGB1B2P	0.018333332613110542	0.018333333333333333	0.02
SCGB2B2	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
ZNF302	0.12999999523162842	0.13	0.14333333333333334
AC020910.4	0.01666666753590107	0.016666666666666666	0.016666666666666666
ZNF181	0.036666665226221085	0.03666666666666667	0.04
ZNF599	0.03166666626930237	0.03166666666666667	0.03166666666666667
LINC01801	0.0	0.0	0.0
AC008555.1	0.0033333334140479565	0.0033333333333333335	0.0033333333333333335
AC008555.2	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
AC008555.5	0.0	0.0	0.0
LINC00904	0.0	0.0	0.0
AC008555.3	0.0	0.0	0.0
AC008555.6	0.0	0.0	0.0
LINC01838	0.0	0.0	0.0
ZNF30-AS1	0.0	0.0	0.0
ZNF30	0.01666666753590107	0.016666666666666666	0.018333333333333333
ZNF792	0.006666666828095913	0.006666666666666667	0.006666666666666667
GRAMD1A	0.11833333224058151	0.11833333333333333	0.125
AC020907.3	0.0016666667070239782	0.0016666666666666668	0.0033333333333333335
AC020907.4	0.0	0.0	0.0
SCN1B	0.10499999672174454	0.105	0.12166666666666667
HPN	3.819999933242798	3.82	4.138333333333334
HPN-AS1	0.0	0.0	0.0
AC020907.1	0.0	0.0	0.0
FXYD3	0.0033333334140479565	0.0033333333333333335	0.0033333333333333335
LGI4	0.05833333358168602	0.058333333333333334	0.065
FXYD1	2.3333332538604736	2.3333333333333335	2.4783333333333335
FXYD7	0.009999999776482582	0.01	0.01
FXYD5	0.3266666531562805	0.32666666666666666	0.345
FAM187B	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
LSR	1.4183332920074463	1.4183333333333332	1.4933333333333334
AC002128.2	0.0	0.0	0.0
USF2	0.7733333110809326	0.7733333333333333	0.8416666666666667
HAMP	19.013334274291992	19.013333333333332	20.45
MAG	0.014999999664723873	0.015	0.015
CD22	0.014999999664723873	0.015	0.016666666666666666
FFAR1	0.0	0.0	0.0
FFAR3	0.004999999888241291	0.005	0.005
GPR42	0.0016666667070239782	0.0016666666666666668	0.005
LINC01531	0.0	0.0	0.0
AC002511.2	0.0	0.0	0.0
AC002511.1	0.0	0.0	0.0
FFAR2	0.03500000014901161	0.035	0.035
KRTDAP	0.0	0.0	0.0
DMKN	0.02500000037252903	0.025	0.028333333333333332
SBSN	0.0	0.0	0.0
GAPDHS	0.0	0.0	0.0
TMEM147-AS1	0.009999999776482582	0.01	0.01
TMEM147	0.41999998688697815	0.42	0.4483333333333333
ATP4A	0.0	0.0	0.0
AD000090.1	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
PMIS2	0.0	0.0	0.0
LINC01766	0.0	0.0	0.0
AC002115.1	0.0	0.0	0.0
HAUS5	0.0416666679084301	0.041666666666666664	0.045
RBM42	0.33500000834465027	0.335	0.36833333333333335
ETV2	0.019999999552965164	0.02	0.02
COX6B1	1.5366666316986084	1.5366666666666666	1.625
UPK1A	0.0	0.0	0.0
UPK1A-AS1	0.0	0.0	0.0
ZBTB32	0.0	0.0	0.0
KMT2B	0.17000000178813934	0.17	0.18833333333333332
IGFLR1	0.0416666679084301	0.041666666666666664	0.043333333333333335
AD000671.2	0.0	0.0	0.0
U2AF1L4	0.1316666603088379	0.13166666666666665	0.13666666666666666
PSENEN	0.1783333271741867	0.17833333333333334	0.195
AD000671.1	0.0	0.0	0.0
AD000671.3	0.0	0.0	0.0
LIN37	0.006666666828095913	0.006666666666666667	0.006666666666666667
AC002398.2	0.0	0.0	0.0
HSPB6	0.12666666507720947	0.12666666666666668	0.13333333333333333
PROSER3	0.004999999888241291	0.005	0.008333333333333333
AC002398.1	0.0	0.0	0.0
ARHGAP33	0.021666666492819786	0.021666666666666667	0.023333333333333334
PRODH2	1.9216666221618652	1.9216666666666666	2.0533333333333332
NPHS1	0.0	0.0	0.0
KIRREL2	0.0	0.0	0.0
APLP1	0.0	0.0	0.0
NFKBID	0.08666666597127914	0.08666666666666667	0.09166666666666666
HCST	0.20666666328907013	0.20666666666666667	0.22166666666666668
TYROBP	0.7516666650772095	0.7516666666666667	0.8333333333333334
LRFN3	0.03999999910593033	0.04	0.041666666666666664
AF038458.3	0.0	0.0	0.0
AF038458.2	0.0	0.0	0.0
SDHAF1	0.13333334028720856	0.13333333333333333	0.13833333333333334
SYNE4	0.07000000029802322	0.07	0.075
ALKBH6	0.1433333307504654	0.14333333333333334	0.155
AC002116.2	0.0	0.0	0.0
CLIP3	0.011666666716337204	0.011666666666666667	0.013333333333333334
THAP8	0.029999999329447746	0.03	0.03333333333333333
WDR62	0.004999999888241291	0.005	0.006666666666666667
OVOL3	0.0	0.0	0.0
POLR2I	0.5733333230018616	0.5733333333333334	0.6066666666666667
TBCB	0.10999999940395355	0.11	0.12
CAPNS1	1.0299999713897705	1.03	1.105
AD001527.1	0.0	0.0	0.0
COX7A1	0.20333333313465118	0.20333333333333334	0.21
ZNF565	0.009999999776482582	0.01	0.011666666666666667
ZNF146	0.1783333271741867	0.17833333333333334	0.19833333333333333
AC012617.1	0.0	0.0	0.0
LINC00665	0.008333333767950535	0.008333333333333333	0.01
ZFP14	0.04333333298563957	0.043333333333333335	0.045
AC092296.1	0.0	0.0	0.0016666666666666668
AC092296.3	0.0	0.0	0.0
ZFP82	0.006666666828095913	0.006666666666666667	0.006666666666666667
ZNF566	0.07000000029802322	0.07	0.07166666666666667
