feature	cs_N	rs_N	cs_T	rs_T
GOLGA7B	0.006666666666666667	0.006666666666666667	0.0016666666666666668	0.0016666666666666668
CRTAC1	0.0	0.0	0.0	0.0
R3HCC1L	0.07	0.07	0.045	0.045
LOXL4	0.035	0.035	0.023333333333333334	0.023333333333333334
AL139241.1	0.0	0.0	0.0	0.0
PYROXD2	0.17333333333333334	0.17333333333333334	0.16166666666666665	0.16166666666666665
HPS1	0.25333333333333335	0.25333333333333335	0.275	0.275
HPSE2	0.0	0.0	0.0	0.0
CNNM1	0.0016666666666666668	0.0016666666666666668	0.008333333333333333	0.008333333333333333
GOT1	1.6233333333333333	1.6233333333333333	1.4666666666666666	1.4666666666666666
AL391684.1	0.015	0.015	0.023333333333333334	0.023333333333333334
LINC01475	0.0	0.0	0.0	0.0
AL513542.1	0.0	0.0	0.0	0.0
NKX2-3	0.0	0.0	0.0	0.0
SLC25A28	0.185	0.185	0.18666666666666668	0.18666666666666668
AL353719.1	0.0	0.0	0.0	0.0
AL133353.1	0.0	0.0	0.0	0.0
ENTPD7	0.0033333333333333335	0.0033333333333333335	0.005	0.005
CUTC	0.17	0.17	0.17833333333333334	0.17833333333333334
COX15	0.18333333333333332	0.18333333333333332	0.17666666666666667	0.17666666666666667
ABCC2	0.32166666666666666	0.32166666666666666	0.3516666666666667	0.3516666666666667
DNMBP	0.12166666666666667	0.12166666666666667	0.10666666666666667	0.10666666666666667
DNMBP-AS1	0.0	0.0	0.0	0.0
CPN1	0.15666666666666668	0.15666666666666668	0.15666666666666668	0.15666666666666668
ERLIN1	0.45	0.45	0.49333333333333335	0.49333333333333335
CHUK	0.09	0.09	0.10166666666666667	0.10166666666666667
AL138921.2	0.0	0.0	0.0	0.0
AL138921.1	0.0	0.0	0.0	0.0
CWF19L1	0.07333333333333333	0.07333333333333333	0.065	0.065
BLOC1S2	0.16	0.16	0.155	0.155
PKD2L1	0.0033333333333333335	0.0033333333333333335	0.011666666666666667	0.011666666666666667
AL139819.1	0.0	0.0	0.0	0.0
